timestamp,incident_id,source,service,component,severity,message,environment
2026-06-18 10:00:00,INC-1001,Jenkins,payment-api,Jenkins,INFO,Deployment started,staging
2026-06-18 10:00:51,INC-1001,Docker,payment-api,Docker,INFO,Docker image pulled,staging
2026-06-18 10:01:39,INC-1001,Kubernetes,payment-api,Kubernetes,INFO,Deployment initiated,staging
2026-06-18 10:02:16,INC-1001,PostgreSQL,payment-api,PostgreSQL,WARN,Connection pool nearing capacity,staging
2026-06-18 10:02:49,INC-1001,PostgreSQL,payment-api,PostgreSQL,ERROR,Database connection refused,staging
2026-06-18 10:04:18,INC-1001,Application,payment-api,Application,ERROR,Migration timed out,staging
2026-06-18 10:04:49,INC-1001,Jenkins,payment-api,Jenkins,ERROR,Rollback initiated,staging
2026-06-18 10:06:03,INC-1001,Jenkins,payment-api,Jenkins,ERROR,Deployment failed,staging
2026-06-18 10:09:42,INC-1002,Jenkins,order-service,Jenkins,INFO,Deployment started,production
2026-06-18 10:11:06,INC-1002,Docker,order-service,Docker,INFO,Docker image pulled,production
2026-06-18 10:11:29,INC-1002,Kubernetes,order-service,Kubernetes,INFO,Deployment initiated,production
2026-06-18 10:12:14,INC-1002,PostgreSQL,order-service,PostgreSQL,WARN,Connection pool nearing capacity,production
2026-06-18 10:13:43,INC-1002,PostgreSQL,order-service,PostgreSQL,ERROR,Database connection refused,production
2026-06-18 10:14:56,INC-1002,Application,order-service,Application,ERROR,Migration timed out,production
2026-06-18 10:15:44,INC-1002,Jenkins,order-service,Jenkins,ERROR,Rollback initiated,production
2026-06-18 10:17:01,INC-1002,Jenkins,order-service,Jenkins,ERROR,Deployment failed,production
2026-06-18 10:27:50,INC-1003,Jenkins,order-service,Jenkins,INFO,Deployment started,staging
2026-06-18 10:28:53,INC-1003,Docker,order-service,Docker,INFO,Docker image pulled,staging
2026-06-18 10:29:48,INC-1003,Kubernetes,order-service,Kubernetes,INFO,Deployment initiated,staging
2026-06-18 10:30:27,INC-1003,PostgreSQL,order-service,PostgreSQL,WARN,Connection pool nearing capacity,staging
2026-06-18 10:31:14,INC-1003,PostgreSQL,order-service,PostgreSQL,ERROR,Database connection refused,staging
2026-06-18 10:32:17,INC-1003,Application,order-service,Application,ERROR,Migration timed out,staging
2026-06-18 10:32:50,INC-1003,Jenkins,order-service,Jenkins,ERROR,Rollback initiated,staging
2026-06-18 10:33:21,INC-1003,Jenkins,order-service,Jenkins,ERROR,Deployment failed,staging
2026-06-18 10:38:18,INC-1004,Docker,inventory-service,Docker,INFO,Container started,staging
2026-06-18 10:38:43,INC-1004,Application,inventory-service,Application,ERROR,Unhandled exception during startup,staging
2026-06-18 10:40:01,INC-1004,Kubernetes,inventory-service,Kubernetes,ERROR,CrashLoopBackOff detected,staging
2026-06-18 10:41:29,INC-1004,Kubernetes,inventory-service,Kubernetes,WARN,Restarting container,staging
2026-06-18 10:42:04,INC-1004,Application,inventory-service,Application,ERROR,Startup failed,staging
2026-06-18 10:43:12,INC-1004,Kubernetes,inventory-service,Kubernetes,ERROR,Pod unhealthy,staging
2026-06-18 10:51:24,INC-1005,Docker,notification-service,Docker,INFO,Container started,staging
2026-06-18 10:52:08,INC-1005,Application,notification-service,Application,ERROR,Unhandled exception during startup,staging
2026-06-18 10:52:36,INC-1005,Kubernetes,notification-service,Kubernetes,ERROR,CrashLoopBackOff detected,staging
2026-06-18 10:53:01,INC-1005,Kubernetes,notification-service,Kubernetes,WARN,Restarting container,staging
2026-06-18 10:53:50,INC-1005,Application,notification-service,Application,ERROR,Startup failed,staging
2026-06-18 10:54:47,INC-1005,Kubernetes,notification-service,Kubernetes,ERROR,Pod unhealthy,staging
2026-06-18 11:00:16,INC-1006,Jenkins,auth-service,Jenkins,INFO,Deployment started,staging
2026-06-18 11:01:34,INC-1006,Docker,auth-service,Docker,INFO,Docker image pulled,staging
2026-06-18 11:02:40,INC-1006,Kubernetes,auth-service,Kubernetes,INFO,Deployment initiated,staging
2026-06-18 11:03:20,INC-1006,PostgreSQL,auth-service,PostgreSQL,WARN,Connection pool nearing capacity,staging
2026-06-18 11:04:27,INC-1006,PostgreSQL,auth-service,PostgreSQL,ERROR,Database connection refused,staging
2026-06-18 11:05:32,INC-1006,Application,auth-service,Application,ERROR,Migration timed out,staging
2026-06-18 11:06:18,INC-1006,Jenkins,auth-service,Jenkins,ERROR,Rollback initiated,staging
2026-06-18 11:07:12,INC-1006,Jenkins,auth-service,Jenkins,ERROR,Deployment failed,staging
2026-06-18 11:15:52,INC-1007,Redis,notification-service,Redis,INFO,Cache warming completed,production
2026-06-18 11:16:32,INC-1007,Redis,notification-service,Redis,WARN,Memory usage exceeded 90%,production
2026-06-18 11:17:51,INC-1007,Redis,notification-service,Redis,ERROR,Redis unavailable,production
2026-06-18 11:18:59,INC-1007,Application,notification-service,Application,WARN,Fallback to database,production
2026-06-18 11:19:53,INC-1007,Application,notification-service,Application,WARN,API latency increased,production
2026-06-18 11:20:41,INC-1007,Redis,notification-service,Redis,INFO,Redis restarted,production
2026-06-18 11:21:42,INC-1007,Application,notification-service,Application,INFO,Service recovered,production
2026-06-18 11:27:06,INC-1008,Jenkins,inventory-service,Jenkins,INFO,Deployment started,staging
2026-06-18 11:28:00,INC-1008,Docker,inventory-service,Docker,INFO,Docker image pulled,staging
2026-06-18 11:28:28,INC-1008,Kubernetes,inventory-service,Kubernetes,INFO,Deployment initiated,staging
2026-06-18 11:29:15,INC-1008,PostgreSQL,inventory-service,PostgreSQL,WARN,Connection pool nearing capacity,staging
2026-06-18 11:30:15,INC-1008,PostgreSQL,inventory-service,PostgreSQL,ERROR,Database connection refused,staging
2026-06-18 11:31:02,INC-1008,Application,inventory-service,Application,ERROR,Migration timed out,staging
2026-06-18 11:32:25,INC-1008,Jenkins,inventory-service,Jenkins,ERROR,Rollback initiated,staging
2026-06-18 11:33:35,INC-1008,Jenkins,inventory-service,Jenkins,ERROR,Deployment failed,staging
2026-06-18 11:39:06,INC-1009,Docker,order-service,Docker,INFO,Container started,production
2026-06-18 11:40:34,INC-1009,Application,order-service,Application,ERROR,Unhandled exception during startup,production
2026-06-18 11:41:27,INC-1009,Kubernetes,order-service,Kubernetes,ERROR,CrashLoopBackOff detected,production
2026-06-18 11:42:41,INC-1009,Kubernetes,order-service,Kubernetes,WARN,Restarting container,production
2026-06-18 11:43:52,INC-1009,Application,order-service,Application,ERROR,Startup failed,production
2026-06-18 11:44:58,INC-1009,Kubernetes,order-service,Kubernetes,ERROR,Pod unhealthy,production
2026-06-18 11:49:56,INC-1010,Jenkins,payment-api,Jenkins,INFO,Deployment started,production
2026-06-18 11:50:30,INC-1010,Docker,payment-api,Docker,ERROR,Registry authentication failed,production
2026-06-18 11:51:09,INC-1010,Kubernetes,payment-api,Kubernetes,ERROR,ImagePullBackOff,production
2026-06-18 11:51:49,INC-1010,Kubernetes,payment-api,Kubernetes,WARN,Retrying image pull,production
2026-06-18 11:53:03,INC-1010,Jenkins,payment-api,Jenkins,ERROR,Deployment failed,production
2026-06-18 11:59:48,INC-1011,Jenkins,notification-service,Jenkins,INFO,Deployment started,staging
2026-06-18 12:01:15,INC-1011,Docker,notification-service,Docker,ERROR,Registry authentication failed,staging
2026-06-18 12:02:07,INC-1011,Kubernetes,notification-service,Kubernetes,ERROR,ImagePullBackOff,staging
2026-06-18 12:03:37,INC-1011,Kubernetes,notification-service,Kubernetes,WARN,Retrying image pull,staging
2026-06-18 12:03:58,INC-1011,Jenkins,notification-service,Jenkins,ERROR,Deployment failed,staging
2026-06-18 12:13:21,INC-1012,Docker,inventory-service,Docker,INFO,Container started,production
2026-06-18 12:14:18,INC-1012,Application,inventory-service,Application,ERROR,Unhandled exception during startup,production
2026-06-18 12:15:33,INC-1012,Kubernetes,inventory-service,Kubernetes,ERROR,CrashLoopBackOff detected,production
2026-06-18 12:16:13,INC-1012,Kubernetes,inventory-service,Kubernetes,WARN,Restarting container,production
2026-06-18 12:17:31,INC-1012,Application,inventory-service,Application,ERROR,Startup failed,production
2026-06-18 12:17:51,INC-1012,Kubernetes,inventory-service,Kubernetes,ERROR,Pod unhealthy,production
2026-06-18 12:26:00,INC-1013,Redis,notification-service,Redis,INFO,Cache warming completed,production
2026-06-18 12:26:58,INC-1013,Redis,notification-service,Redis,WARN,Memory usage exceeded 90%,production
2026-06-18 12:28:22,INC-1013,Redis,notification-service,Redis,ERROR,Redis unavailable,production
2026-06-18 12:29:07,INC-1013,Application,notification-service,Application,WARN,Fallback to database,production
2026-06-18 12:29:46,INC-1013,Application,notification-service,Application,WARN,API latency increased,production
